change_id,visa_code,announcement_round,requirement_type,change_summary,old_value,new_value,effective_date,from_round,to_round,fact_key,change_type,change_scope,comparison_method,date_basis,source_document_id,source_section,source_table_index,source_text,extracted_at,extraction_status,confidence
602af13b-1bbe-5d82-bbc6-6ac7937f2561,F-2-R,9,regional_quota,단양군 기추천 인원: 20 person → 22 person,20 person,22 person,2026-01-13,8,9,quota:단양군:recommended,modified,regional_quota,adjacent_round_only,to_round_publication_date,r09_announcement_2025~2026_a483f5df,0,5,단양 | 36 | 22 | 14,2026-08-23T12:56:59+00:00,auto_extracted,0.98
95f95f38-891b-5ac9-95bd-44e46b1ab11d,F-2-R,9,regional_quota,단양군 잔여 인원: 16 person → 14 person,16 person,14 person,2026-01-13,8,9,quota:단양군:remaining,modified,regional_quota,adjacent_round_only,to_round_publication_date,r09_announcement_2025~2026_a483f5df,0,5,단양 | 36 | 22 | 14,2026-08-23T12:56:59+00:00,auto_extracted,0.98
32584cff-8f91-5339-acee-c83e01db7df9,F-2-R,9,regional_quota,보은군 기추천 인원: 19 person → 21 person,19 person,21 person,2026-01-13,8,9,quota:보은군:recommended,modified,regional_quota,adjacent_round_only,to_round_publication_date,r09_announcement_2025~2026_a483f5df,0,5,보은 | 60 | 21 | 39,2026-08-23T12:56:59+00:00,auto_extracted,0.98
0926e8e8-d714-5c0c-9fd0-21ed5faab8d5,F-2-R,9,regional_quota,보은군 잔여 인원: 41 person → 39 person,41 person,39 person,2026-01-13,8,9,quota:보은군:remaining,modified,regional_quota,adjacent_round_only,to_round_publication_date,r09_announcement_2025~2026_a483f5df,0,5,보은 | 60 | 21 | 39,2026-08-23T12:56:59+00:00,auto_extracted,0.98
6752230a-14ec-5662-9ffe-0b1ced3caf00,F-2-R,9,regional_quota,옥천군 기추천 인원: 10 person → 11 person,10 person,11 person,2026-01-13,8,9,quota:옥천군:recommended,modified,regional_quota,adjacent_round_only,to_round_publication_date,r09_announcement_2025~2026_a483f5df,0,5,옥천 | 50 | 11 | 39,2026-08-23T12:56:59+00:00,auto_extracted,0.98
7557b9ca-5e3b-57f0-98f3-bbb609448670,F-2-R,9,regional_quota,옥천군 잔여 인원: 40 person → 39 person,40 person,39 person,2026-01-13,8,9,quota:옥천군:remaining,modified,regional_quota,adjacent_round_only,to_round_publication_date,r09_announcement_2025~2026_a483f5df,0,5,옥천 | 50 | 11 | 39,2026-08-23T12:56:59+00:00,auto_extracted,0.98
75910ae6-4386-5695-9740-49ced19675f9,F-2-R,9,requirement,"연간 소득 기준: 29,601,924 KRW/year → 30,539,916 KRW/year","29,601,924 KRW/year","30,539,916 KRW/year",2026-01-13,8,9,requirement:income,modified,requirement,adjacent_round_only,to_round_publication_date,r09_announcement_2025~2026_a483f5df,0,7,"학력/소득 (두 요건 중 하나만 구비 하면 족함) / 1) 학력 /  국내 전문학사 이상의 학위취득자로서 2년제 전문대학 이상 / 졸업자 또는 졸업예정자 / - 신청일 기준 6개월 이내 졸업 예정 증빙 필요(대학 총장, 학과장 명의의 문서 제출), 최초 체류기간 연장 시 학위증 등 입증서류 제출 / 2) 소득 /  (주체) 신청인(본인) 소득만 인정 /  (기준) ‘26년도 충청북도 생활임금(연 30,539,916원) 이상 /  (인정되는 소득) 「소득세법」 제4조제1항에 따른 다음 소득을 합산 / - 이자소득, 배당소득, 사업소득, 근로소득, 연금소득, 기타소득 / - 각 소득은 소득세를 납부한 경우에만 인정 / - 「소득세법」 제12조(비과세소득)에 따라 소득세를 납부하지 않아도 되는 소득일 경우 관련 증빙자료 등을 검토하여 인정 여부 결정 / 나. 거주지 /  (원칙) 추천지역 내에서 계속",2026-08-23T12:56:59+00:00,auto_extracted,0.98
6eae887d-1f39-56c1-903a-3cc5fef9f115,F-2-R,10,attachment_content,허가조건 안내 언어: ko_only → ko_en,ko_only,ko_en,2026-02-09,9,10,attachment:permission_notice_language,modified,attachment_content,adjacent_round_only,to_round_publication_date,r10_attachment_2025~2026_9c4cb7e5,0,1,"| 【 허가조건 】 / Conditions of Permission | | 1. 공통 Common Requirements / ❍ 자격요건(거주지 요건, 취·창업 요건, 소득요건 등)을 계속 유지할 것 / The applicant must continuously satisfy all eligibility requirement, including residence, employment/start-up, and income requirements. / 2.",2026-08-23T12:56:59+00:00,auto_extracted,0.98
1f774fc3-b9ba-54cb-8227-1b4c43493f45,F-2-R,10,regional_quota,괴산군 기추천 인원: 6 person → 7 person,6 person,7 person,2026-02-09,9,10,quota:괴산군:recommended,modified,regional_quota,adjacent_round_only,to_round_publication_date,r10_announcement_2026_81bfb577,0,5,괴산 | 30 | 7 | 23,2026-08-23T12:56:59+00:00,auto_extracted,0.98
99a5e425-8503-56ef-aaa7-88f4631e17d5,F-2-R,10,regional_quota,괴산군 잔여 인원: 24 person → 23 person,24 person,23 person,2026-02-09,9,10,quota:괴산군:remaining,modified,regional_quota,adjacent_round_only,to_round_publication_date,r10_announcement_2026_81bfb577,0,5,괴산 | 30 | 7 | 23,2026-08-23T12:56:59+00:00,auto_extracted,0.98
