current_fact_id,visa_code,fact_domain,fact_key,fact_name_kr,value_text,value_number,unit,source_round,source_document_id,fill_strategy,backfilled_from_round,source_fact_id
d3ec0959-eb0d-5877-8116-8e15eff2c74b,F-2-R,application,application:start,전체 사업 접수 시작일,2025-03-07,,date,17,r17_announcement_2026_df1fdde9,latest,,c523f064-7ab1-5f6f-b5a4-76931aedb04e
ee08f7d3-2d42-597e-8b97-034505bce092,F-2-R,application,application:end,전체 사업 접수 종료일,2026-09-18,,date,17,r17_announcement_2026_df1fdde9,latest,,75dd5d66-2960-541e-baa8-8f94ec097332
de148400-27dd-5f7d-b726-9323666643ef,F-2-R,application,application:total_quota,총 모집인원,,311.0,person,17,r17_announcement_2026_df1fdde9,latest,,e2cc471d-2a15-5fc1-93a6-c2d02bbeb239
b1ce27c9-4d23-5a91-9744-99e8a9b03800,F-2-R,regional_quota,quota:괴산군:allocated,괴산군 배정 인원,,30.0,person,17,r17_announcement_2026_df1fdde9,latest,,0c93d3b7-a9f1-5359-ae84-a87865fe58d2
f3e5a90a-be31-588c-b3c7-775bafed7f68,F-2-R,regional_quota,quota:괴산군:recommended,괴산군 기추천 인원,,17.0,person,17,r17_announcement_2026_df1fdde9,latest,,520da226-03fe-5099-b2d2-f86d5babb249
010ff3f9-20cf-5718-a1f7-3d4d0665f66a,F-2-R,regional_quota,quota:괴산군:remaining,괴산군 잔여 인원,,13.0,person,17,r17_announcement_2026_df1fdde9,latest,,f19abdb4-ac0a-55dd-bbd6-4190a19ab053
0944c55c-e982-5974-895f-1ce2a9e82396,F-2-R,regional_quota,quota:단양군:allocated,단양군 배정 인원,,44.0,person,17,r17_announcement_2026_df1fdde9,latest,,fa35e99b-55c4-520d-b6e5-1a759fab82be
9396bd63-11d2-5d18-b817-fe0224c52356,F-2-R,regional_quota,quota:단양군:recommended,단양군 기추천 인원,,36.0,person,17,r17_announcement_2026_df1fdde9,latest,,e4be2b40-dae0-54f5-a91d-53fa21aafd5f
8234fc55-659c-5c1d-a055-68e8c25197fd,F-2-R,regional_quota,quota:단양군:remaining,단양군 잔여 인원,,8.0,person,17,r17_announcement_2026_df1fdde9,latest,,2c7a67ce-82f1-5f3c-9b8d-c6d34272bff2
4a89f31e-4bb6-5391-8f1b-783ee78fea27,F-2-R,regional_quota,quota:보은군:allocated,보은군 배정 인원,,70.0,person,17,r17_announcement_2026_df1fdde9,latest,,1c924000-a660-5809-8769-bf016a795db2
