criteria_id,visa_id,group_id,requirement_type,criteria_name,criteria_type,comparison_operator,value_number,value_text,unit,threshold_value,point_value,special_case_note,value_status,display_order,valid_from,valid_to,source_document_id,source_section,source_block_index,source_table_index,source_text,source_round,fill_strategy,date_basis,extracted_at,last_verified_at,extraction_status,confidence
2a9238b5-4aa5-582a-953a-ee817ffa34c8,78dca2d7-f771-553a-b788-46c9ff56d633,2e0d717c-ad6e-518c-8f00-b1159b80616c,applicant_status,E-7-4 체류기간,binary,>=,2.0,,year,E-7-4 자격변경 후 2년 이상,,공고가 별도로 허용한 경로,present,10,,,r17_announcement_2026_df1fdde9,0,40,7,"1. 대상 : / ※ 유의사항 : 아래 대상은 다음 기준에 따라 F-2-R 자격변경 허용 / - (숙련기능인력, E-7-4) 숙련기능인력(E-7-4)으로 자격변경 후 2년 이상 경과하고 다음의 어느 하나에 해당되는 사람 / · 현 근무처에서 계속 근무할 예정인 사람 / · 현 근무처 고용계약이 종료되었거나* 3개월 이내 종료 예정인 사람 / * 숙련기능인력(E-7-4)으로 2년 이상 체류하고 구직(D-10) 자격으로 변경한 사람도 포함 / - (지역특화형 숙련기능인력, E-7-4R) 지역특화형 숙련기능인력(E-7-4R)으로 자격변경 후 3년 이상 경과하고 인구감소지역에 거주하는 사람 / 2. 자격 요건 ※ (기본요건) 충족지자체 개별요건",17,latest,not_explicit_in_source,2026-08-15T03:40:11+00:00,2026-08-15,reviewed,0.99
e6d7166a-7ebe-5c9b-bc60-0131d276d9d5,78dca2d7-f771-553a-b788-46c9ff56d633,2e0d717c-ad6e-518c-8f00-b1159b80616c,applicant_status,E-7-4 현 근무처 계속 근무,binary,=,,continue_current_workplace,,현 근무처에서 계속 근무 예정,,,present,11,,,r17_announcement_2026_df1fdde9,0,40,7,"1. 대상 : / ※ 유의사항 : 아래 대상은 다음 기준에 따라 F-2-R 자격변경 허용 / - (숙련기능인력, E-7-4) 숙련기능인력(E-7-4)으로 자격변경 후 2년 이상 경과하고 다음의 어느 하나에 해당되는 사람 / · 현 근무처에서 계속 근무할 예정인 사람 / · 현 근무처 고용계약이 종료되었거나* 3개월 이내 종료 예정인 사람 / * 숙련기능인력(E-7-4)으로 2년 이상 체류하고 구직(D-10) 자격으로 변경한 사람도 포함 / - (지역특화형 숙련기능인력, E-7-4R) 지역특화형 숙련기능인력(E-7-4R)으로 자격변경 후 3년 이상 경과하고 인구감소지역에 거주하는 사람 / 2. 자격 요건 ※ (기본요건) 충족지자체 개별요건 참고) / 가. 학력/소득 (두 요건 중 하나만 구비 하면 족함) / 1) 학력 /",17,latest,not_explicit_in_source,2026-08-15T03:40:11+00:00,2026-08-15,reviewed,0.99
e9aba827-5cda-5bdc-a82b-055fe7ccd15a,78dca2d7-f771-553a-b788-46c9ff56d633,2e0d717c-ad6e-518c-8f00-b1159b80616c,applicant_status,E-7-4 계약 종료 경로,binary,<=,3.0,,month,현 계약 종료 또는 3개월 이내 종료 예정,,,present,12,,,r17_announcement_2026_df1fdde9,0,40,7,"1. 대상 : / ※ 유의사항 : 아래 대상은 다음 기준에 따라 F-2-R 자격변경 허용 / - (숙련기능인력, E-7-4) 숙련기능인력(E-7-4)으로 자격변경 후 2년 이상 경과하고 다음의 어느 하나에 해당되는 사람 / · 현 근무처에서 계속 근무할 예정인 사람 / · 현 근무처 고용계약이 종료되었거나* 3개월 이내 종료 예정인 사람 / * 숙련기능인력(E-7-4)으로 2년 이상 체류하고 구직(D-10) 자격으로 변경한 사람도 포함 / - (지역특화형 숙련기능인력, E-7-4R) 지역특화형 숙련기능인력(E-7-4R)으로 자격변경 후 3년 이상 경과하고 인구감소지역에 거주하는 사람 / 2. 자격 요건 ※ (기본요건) 충족지자체 개별요건 참고) / 가. 학력/소득 (두 요건 중 하나만 구비 하면 족함) / 1) 학력 /  국내 전문학사 이상의 학위 취득자 또는 전문대학 이상 졸업예정자",17,latest,not_explicit_in_source,2026-08-15T03:40:11+00:00,2026-08-15,reviewed,0.99
02666ce3-947e-540d-b86f-7a80fe14d699,78dca2d7-f771-553a-b788-46c9ff56d633,2e0d717c-ad6e-518c-8f00-b1159b80616c,applicant_status,E-7-4 후 D-10 포함,binary,IN,,D-10,,E-7-4로 2년 이상 체류 후 D-10 변경자 포함,,,present,13,,,r17_announcement_2026_df1fdde9,0,40,7,"1. 대상 : / ※ 유의사항 : 아래 대상은 다음 기준에 따라 F-2-R 자격변경 허용 / - (숙련기능인력, E-7-4) 숙련기능인력(E-7-4)으로 자격변경 후 2년 이상 경과하고 다음의 어느 하나에 해당되는 사람 / · 현 근무처에서 계속 근무할 예정인 사람 / · 현 근무처 고용계약이 종료되었거나* 3개월 이내 종료 예정인 사람 / * 숙련기능인력(E-7-4)으로 2년 이상 체류하고 구직(D-10) 자격으로 변경한 사람도 포함 / - (지역특화형 숙련기능인력, E-7-4R) 지역특화형 숙련기능인력(E-7-4R)으로 자격변경 후 3년 이상 경과하고 인구감소지역에 거주하는 사람 / 2. 자격 요건 ※ (기본요건) 충족지자체 개별요건 참고) / 가. 학력/소득 (두 요건 중 하나만 구비 하면 족함) / 1) 학력 /  국내 전문학사 이상의 학위 취득자 또는 전문대학 이상 졸업예정자 / - (국내 전문학사 이상 학위 취득자) ｢외국인 유학생 사증발급 및 체류관리 지침｣에 따른 유학(D-2",17,latest,not_explicit_in_source,2026-08-15T03:40:11+00:00,2026-08-15,reviewed,0.99
cbd4531a-0814-58af-840c-689a718a73ac,78dca2d7-f771-553a-b788-46c9ff56d633,2e0d717c-ad6e-518c-8f00-b1159b80616c,applicant_status,E-7-4R 체류기간·거주,binary,>=,3.0,,year,E-7-4R 자격변경 후 3년 이상 및 인구감소지역 거주,,,present,14,,,r17_announcement_2026_df1fdde9,0,40,7,"의사항 : 아래 대상은 다음 기준에 따라 F-2-R 자격변경 허용 / - (숙련기능인력, E-7-4) 숙련기능인력(E-7-4)으로 자격변경 후 2년 이상 경과하고 다음의 어느 하나에 해당되는 사람 / · 현 근무처에서 계속 근무할 예정인 사람 / · 현 근무처 고용계약이 종료되었거나* 3개월 이내 종료 예정인 사람 / * 숙련기능인력(E-7-4)으로 2년 이상 체류하고 구직(D-10) 자격으로 변경한 사람도 포함 / - (지역특화형 숙련기능인력, E-7-4R) 지역특화형 숙련기능인력(E-7-4R)으로 자격변경 후 3년 이상 경과하고 인구감소지역에 거주하는 사람 / 2. 자격 요건 ※ (기본요건) 충족지자체 개별요건 참고) / 가. 학력/소득 (두 요건 중 하나만 구비 하면 족함) / 1) 학력 /  국내 전문학사 이상의 학위 취득자 또는 전문대학 이상 졸업예정자 / - (국내 전문학사 이상 학위 취득자) ｢외국인 유학생 사증발급 및 체류관리 지침｣에 따른 유학(D-2) 체류자격의 대상 교육기관에 입학하여 국내에서 2년 이상 체류하며 학칙으로 정하는 과정을 마치고 전문학사 이상의 학위를 취득한 경우에 한함",17,latest,not_explicit_in_source,2026-08-15T03:40:11+00:00,2026-08-15,reviewed,0.99
df3a97c7-1832-5a27-addf-b33dfb0f9b3a,78dca2d7-f771-553a-b788-46c9ff56d633,959362ca-66e2-5f16-b643-549019cd0a47,education,국내 학력,binary,IN,,associate_degree_or_expected,,국내 전문학사 이상 학위 취득 또는 전문대학 이상 졸업예정,,,present,20,,,r17_announcement_2026_df1fdde9,0,40,7,"· 현 근무처 고용계약이 종료되었거나* 3개월 이내 종료 예정인 사람 / * 숙련기능인력(E-7-4)으로 2년 이상 체류하고 구직(D-10) 자격으로 변경한 사람도 포함 / - (지역특화형 숙련기능인력, E-7-4R) 지역특화형 숙련기능인력(E-7-4R)으로 자격변경 후 3년 이상 경과하고 인구감소지역에 거주하는 사람 / 2. 자격 요건 ※ (기본요건) 충족지자체 개별요건 참고) / 가. 학력/소득 (두 요건 중 하나만 구비 하면 족함) / 1) 학력 /  국내 전문학사 이상의 학위 취득자 또는 전문대학 이상 졸업예정자 / - (국내 전문학사 이상 학위 취득자) ｢외국인 유학생 사증발급 및 체류관리 지침｣에 따른 유학(D-2) 체류자격의 대상 교육기관에 입학하여 국내에서 2년 이상 체류하며 학칙으로 정하는 과정을 마치고 전문학사 이상의 학위를 취득한 경우에 한함 / - (전문대학 이상 졸업예정자) 신청일로부터 6개월 이내 국내 전문대학 이상의 대학을 졸업하고 전문학사 이상 학위를 취득(국내에서 2년 이상 체류하며 학칙으로 정하는 과정을 마치고 전문학사 이상의 학위를 취득하는",17,latest,not_explicit_in_source,2026-08-15T03:40:11+00:00,2026-08-15,reviewed,0.99
9b1688a1-763b-54da-95ef-38d3cb326797,78dca2d7-f771-553a-b788-46c9ff56d633,959362ca-66e2-5f16-b643-549019cd0a47,education,국내 교육과정 체류,binary,>=,2.0,,year,대상 교육기관에서 국내 2년 이상 체류하며 과정 이수,,,present,21,,,r17_announcement_2026_df1fdde9,0,40,7,"7-4R) 지역특화형 숙련기능인력(E-7-4R)으로 자격변경 후 3년 이상 경과하고 인구감소지역에 거주하는 사람 / 2. 자격 요건 ※ (기본요건) 충족지자체 개별요건 참고) / 가. 학력/소득 (두 요건 중 하나만 구비 하면 족함) / 1) 학력 /  국내 전문학사 이상의 학위 취득자 또는 전문대학 이상 졸업예정자 / - (국내 전문학사 이상 학위 취득자) ｢외국인 유학생 사증발급 및 체류관리 지침｣에 따른 유학(D-2) 체류자격의 대상 교육기관에 입학하여 국내에서 2년 이상 체류하며 학칙으로 정하는 과정을 마치고 전문학사 이상의 학위를 취득한 경우에 한함 / - (전문대학 이상 졸업예정자) 신청일로부터 6개월 이내 국내 전문대학 이상의 대학을 졸업하고 전문학사 이상 학위를 취득(국내에서 2년 이상 체류하며 학칙으로 정하는 과정을 마치고 전문학사 이상의 학위를 취득하는 경우에 한함)할 예정인 사람으로서 자격변경 신청 시 졸업예정증명서*를 제출하여야 하며, 최초 체류기간 연장 시 학위증 등 입증서류를 제출하여야 함 / * 대학 총장 또는 학과장 명의의 문서로서 ①증명서 발급 당시 졸업요건을 모두 갖추",17,latest,not_explicit_in_source,2026-08-15T03:40:11+00:00,2026-08-15,reviewed,0.99
f565e333-063e-5873-bba6-2576093b0698,78dca2d7-f771-553a-b788-46c9ff56d633,959362ca-66e2-5f16-b643-549019cd0a47,education,졸업예정 기한,binary,<=,6.0,,month,신청일부터 6개월 이내 졸업·학위 취득 예정,,,present,22,,,r17_announcement_2026_df1fdde9,0,40,7,"기본요건) 충족지자체 개별요건 참고) / 가. 학력/소득 (두 요건 중 하나만 구비 하면 족함) / 1) 학력 /  국내 전문학사 이상의 학위 취득자 또는 전문대학 이상 졸업예정자 / - (국내 전문학사 이상 학위 취득자) ｢외국인 유학생 사증발급 및 체류관리 지침｣에 따른 유학(D-2) 체류자격의 대상 교육기관에 입학하여 국내에서 2년 이상 체류하며 학칙으로 정하는 과정을 마치고 전문학사 이상의 학위를 취득한 경우에 한함 / - (전문대학 이상 졸업예정자) 신청일로부터 6개월 이내 국내 전문대학 이상의 대학을 졸업하고 전문학사 이상 학위를 취득(국내에서 2년 이상 체류하며 학칙으로 정하는 과정을 마치고 전문학사 이상의 학위를 취득하는 경우에 한함)할 예정인 사람으로서 자격변경 신청 시 졸업예정증명서*를 제출하여야 하며, 최초 체류기간 연장 시 학위증 등 입증서류를 제출하여야 함 / * 대학 총장 또는 학과장 명의의 문서로서 ①증명서 발급 당시 졸업요건을 모두 갖추었음이 대학 대표자 명의로 확인되고, ②학위 수여 날짜가 확정되어 문서에 기재되어야 함(유학생의 졸업이 취소될",17,latest,not_explicit_in_source,2026-08-15T03:40:11+00:00,2026-08-15,reviewed,0.99
3d482d2f-83a6-542f-bf97-06cf466d4df2,78dca2d7-f771-553a-b788-46c9ff56d633,959362ca-66e2-5f16-b643-549019cd0a47,income,연간 생활임금 이상,binary,>=,30539916.0,,KRW/year,"연 30,539,916원 이상",,,present,30,2026-01-01,,r17_announcement_2026_df1fdde9,0,30,,"- ‘26년도 충북도 생활임금(연 30,539,916원) 이상",17,latest,2026 annual living-wage standard,2026-08-15T03:40:11+00:00,2026-08-15,reviewed,0.99
f3fcd8d6-afcc-5018-ac81-759c6339984e,78dca2d7-f771-553a-b788-46c9ff56d633,959362ca-66e2-5f16-b643-549019cd0a47,income,소득 인정 주체,binary,=,,applicant_only,,신청인 본인 소득만 인정,,,present,31,,,r17_announcement_2026_df1fdde9,0,40,7,"을 마치고 전문학사 이상의 학위를 취득하는 경우에 한함)할 예정인 사람으로서 자격변경 신청 시 졸업예정증명서*를 제출하여야 하며, 최초 체류기간 연장 시 학위증 등 입증서류를 제출하여야 함 / * 대학 총장 또는 학과장 명의의 문서로서 ①증명서 발급 당시 졸업요건을 모두 갖추었음이 대학 대표자 명의로 확인되고, ②학위 수여 날짜가 확정되어 문서에 기재되어야 함(유학생의 졸업이 취소될 가능성이 없어 졸업 및 그 날짜가 확정적일 것) / 2) 소득 /  (주체) 신청인(본인) 소득만 인정 /  (기준) 신청일 기준 연간 소득*이 추천서를 발급하는 광역** 이상 / * 신청일 기준 전년도 1. 1. ~ 12. 31.까지의 연간 소득을 말하며, 전년도 소득금액증명 등 공적 증명서류가 발급되기 전의 시기에는 전전년도의 연간 소득금액 기준 / ** 매년 광역지자체별로 공표하는 생활임금으로, 신청일이 속하는 연도의 생활임금 기준 /  (인정되는 소득) 「소득세법」 제4조제1항에 따른 다음 소득을 합산 / - 이자소득, 배당소득, 사업소득, 근로소득,",17,latest,not_explicit_in_source,2026-08-15T03:40:11+00:00,2026-08-15,reviewed,0.99
