record_id,requirement_type,criterion_name,raw_text,value_numeric,value_text,unit,operator,measurement_window_value,measurement_window_unit,condition_group,condition_operator,status,source_document,source_page,source_section,notes
REQ-001,unclassified,,충청북도 공고 제2026 – 1157호충북 지역특화형 비자 사업 숙련기능인력(E-7-4R) 모집 공고(7차)  충청북도는 지역사회 인구감소 대응과 우수한 외국인 인력 유치를 위한 지역특화형 비자 사업을 실시하고 있습니다. 이번 모집에 우수한 외국인 여러분의 많은 관심과 적극적 참여를 바랍니다.2026년 8월 3일충 청 북 도 지 사,,,,,,,,,not_checked,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,,,자동 분류되지 않은 원문 조각 - 사람이 확인 필요
REQ-002,unclassified,,1 |  | 공고 개요,,,,,,,,,not_checked,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,,공고 개요,자동 분류되지 않은 원문 조각 - 사람이 확인 필요
REQ-003,,,❍ 모집유형 : 지역특화형 숙련기능인력(E-7-4R) 유형,,,,,,,G1,,not_checked,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,,공고 개요,
REQ-004,,,"❍ 모집규모 : 542          (단위 : 명)
구 분 | 쿼터(A) | 기추천(B) | 잔여(C=A-B)
충 북 | 542 | 246 | 306",,,,,,,G2,,not_checked,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,,공고 개요,
REQ-005,,,※ 직전 자격이 E-7-4인 E-7-4R 추천 대상자는 쿼터 미소모(10명),,,,,,,G2,,not_checked,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,,공고 개요,
REQ-006,,,"❍ 사업지역 : 제천시, 보은군, 옥천군, 영동군, 괴산군, 단양군",,,,,,,G3,,not_checked,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,,공고 개요,
REQ-007,,,❍ 사업내용 : (숙련기능인력) 광역자치단체장이 추천하는 외국인에게 지역특화형비자(E-7-4R) 체류자격 변경 허용(추천서 발급) 및 정착지원 프로그램 운영 지원,,,,,,,G4,,not_checked,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,,공고 개요,
REQ-008,,,❍ 모집기간 : ‘26. 1. 12.(월) ~ ’26. 9. 18.(금),,,,,,,G5,,not_checked,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,,공고 개요,
REQ-009,,,❍ 접 수 처 : 시군 지역특화비자 담당부서,,,,,,,G6,,not_checked,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,,공고 개요,
REQ-010,,,※ (접수방법) 방문접수,,,,,,,G6,,not_checked,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,,공고 개요,
REQ-011,,,"- 제천시청 미래정책과(충청북도 제천시 내토로 295, 본관 3층)",,,,,,,G6,,not_checked,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,,공고 개요,
REQ-012,,,"- 보은군청 미래전략과(충청북도 보은군 보은읍 군청길 38, 본관 3층)",,,,,,,G6,,not_checked,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,,공고 개요,
REQ-013,,,"- 옥천군청 행  정  과(충청북도 옥천군 옥천읍 중앙로 99, 1층)",,,,,,,G6,,not_checked,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,,공고 개요,
REQ-014,,,"- 영동군청 미래전략과(충청북도 영동군 영동읍 동정로 1, 본관 3층)",,,,,,,G6,,not_checked,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,,공고 개요,
REQ-015,,,"- 괴산군청 미래전략과(충청북도 괴산군 괴산읍 임꺽정로 90, 본관 2층)",,,,,,,G6,,not_checked,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,,공고 개요,
REQ-016,,,"- 단양군청 미래전략과(충청북도 단양군 단양읍 중앙1로 10, 본관 3층)",,,,,,,G6,,not_checked,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,,공고 개요,
REQ-017,,,❍ 결과발표 : 추천서 발급 완료 후 문자 결과 통보(시군),,,,,,,G7,,not_checked,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,,공고 개요,
REQ-018,unclassified,,"2 |  | 추진 체계

모집 공고(도 및 시군) | ⇒ | 상시모집(외국인 → 시군) | ⇒ | 법무부 명단 제출(시군 → 도 → 법무부) | ⇒ | 체류자격 변경신청(외국인 → 하이코리아)
수시 진행(수정사항 발생시) | 쿼터 소진시까지 | 매주 취합 제출(기간 중 내부심사 실시) | 하이코리아 전자민원 접수(추천서발급 3개월내)

 | < 유의 사항 > | 
 | 
(접수시점) 신청서·증빙서류 완료 시점(보완요청 시 접수 미인정)(대행접수) 본인 신청 원칙이나, 부득이한 경우 행정사 등 대리신청 가능*하며 위임장 함께 제출(본인 동행시 위임장 생략) *신청인의 지인·동료, 행정서류 대행 자격이 없는 자 대리신청 불가(중복신청) 타 광역지자체 중복 신청 금지(중복 신청 발견 시, 추천 취소 및 당해 사업 기간 중 추천 제한)",,,,,,,,,not_checked,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,,추진 체계,자동 분류되지 않은 원문 조각 - 사람이 확인 필요
REQ-019,unclassified,,3 |  | 자격 요건,,,,,,,,,not_checked,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,,자격 요건,자동 분류되지 않은 원문 조각 - 사람이 확인 필요
