record_id,requirement_type,criterion_name,raw_text,value_numeric,value_text,unit,operator,measurement_window_value,measurement_window_unit,condition_group,condition_operator,status,source_document,source_page,source_section,notes
REQ-020,applicant_status,,"❍ 최근 10년간 E-9, E-10, H-2 자격으로 2년 이상 체류한 現 등록    외국인으로 현재 근무처에서 합법적으로 근로 중인 자",2,,년,>=,10,년,G8,,present,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,2,자격 요건 > 추천대상,
REQ-021,applicant_status,,※ 3개 체류자격 간 과거 및 현재 합법적 체류 기간 합산 가능,,,,,,,G8,,present,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,2,자격 요건 > 추천대상,
REQ-022,applicant_status,,- 최근 5년 이내 지역특화형 비자 및 동반가족 체류자격으로 체류한 적이 있는 경우 대상에서 제외,,,,,5,년,G8,,present,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,2,자격 요건 > 추천대상,
REQ-023,applicant_status,,"- (인구감소지역 특례) 예정 근무처가 인구감소지역일 경우 해당 체류자격      (E-9, E-10, H-2)을 가지고 구직 중이거나 직전 체류자격이 숙련기능인력      (E-7-4, E-7-4R) 인 구직(D-10) 자격 소지자도 허용",,,,,,,G8,,present,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,2,자격 요건 > 추천대상,applicant_status로 확정. 원문 끝의 표 파싱 찌꺼기(<제외대상> 등) 제거함
REQ-024,conduct,,① 벌금 300만 원 이상의 형을 받은 자,300,,만원,>=,10,년,,,present,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,2,자격 요건 > 추천대상,"각주 '①, ③, ④는 최근 10년 이내 사항만 해당' 반영 - 조각 행(REQ-030~033) 병합함"
REQ-025,conduct,,② 조세 체납자(완납 시 신청 가능),,,,,,,,,present,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,2,자격 요건 > 추천대상,
REQ-026,conduct,,③ 출입국관리법 4회 이상 위반자,4,,회,>=,10,년,,,present,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,2,자격 요건 > 추천대상,"각주 '①, ③, ④는 최근 10년 이내 사항만 해당' 반영 - 조각 행(REQ-030~033) 병합함"
REQ-027,conduct,,④ 불법체류 경력 3개월 이상자 |,3,,개월,>=,10,년,,,present,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,2,자격 요건 > 추천대상,"각주 '①, ③, ④는 최근 10년 이내 사항만 해당' 반영 - 조각 행(REQ-030~033) 병합함"
REQ-028,conduct,,⑤ 대한민국의 이익이나 공공의 안전 등을 해치는 행동을 할 염려가 있다고 인정할 만한 자,,,,,,,,,present,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,2,자격 요건 > 추천대상,
REQ-029,conduct,,⑥ 경제질서 또는 사회질서를 해치거나 선량한 풍속 등을 해치는 행동을 할 염려가 있다고 인정할 만한 자,,,,,,,,,present,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,2,자격 요건 > 추천대상,
REQ-093,employment,,"❍ (대상 사업장) 현재 비전문취업(E-9), 선원취업(E-10), 방문취업(H-2)     체류자격을 가진 외국인을 1명 이상 정상적으로 고용하고 있는 기존    숙련기능점수제 적용 사업장*",1,,명,>=,,,G24,,present,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,8,자격 요건 > 고용기업 및 고용주 요건가. 고용기업 요건,"source_page를 PDF 기준에서 HWPX 기준(+1)으로 정정함(HWPX 4페이지의 빈 박스 때문에 5페이지부터 PDF보다 한 페이지씩 밀림 - HWPX가 기준 문서, #7 결정)"
