rule_id,visa_type,academic_status,meets_korean_requirement,korean_proficiency_options,topik_level_required,industry_type,start_timing,is_combined_limit,weekday_hours,weekend_hours,vacation_hours,combined_total_hours,bonus_hours,exclusion_note,raw_text,valid_from,valid_to,source_document,source_page,last_verified_at
4faad570-c74a-4c2c-93ca-14314f00832c,D-2,LANGUAGE_COURSE,false,"TOPIK 2급 OR 사회통합프로그램 2단계·사전평가 41점 이상 OR 세종학당 초급2 이상",,,AFTER_6_MONTHS,true,,,,10,,"졸업과정 경과(전문학사2년·학사4년) 후 학점미달 등으로 졸업요건을 갖추지 못해 예외적으로 체류허가 받은 자는 허가대상에서 제외","10시간","UNKNOWN — PDF·웹페이지 모두 시행일 미기재, 확인 필요",,"2025년_충청북도_외국인정책_지원사업_안내.pdf p.13; studyinchungbuk.or.kr 시간제근로가이드(2026-08-11 조회, 동일 내용 확인)",13,2026-08-11
25e061a0-599e-4270-b1a7-8b60250aa8a7,D-2,LANGUAGE_COURSE,true,"TOPIK 2급 OR 사회통합프로그램 2단계·사전평가 41점 이상 OR 세종학당 초급2 이상",2,,AFTER_6_MONTHS,true,,,,20,25,"졸업과정 경과(전문학사2년·학사4년) 후 학점미달 등으로 졸업요건을 갖추지 못해 예외적으로 체류허가 받은 자는 허가대상에서 제외","20시간","UNKNOWN — PDF·웹페이지 모두 시행일 미기재, 확인 필요",,"2025년_충청북도_외국인정책_지원사업_안내.pdf p.13; studyinchungbuk.or.kr 시간제근로가이드(2026-08-11 조회, 동일 내용 확인)",13,2026-08-11
892557e4-0c33-4c97-bad2-7b11942ce602,D-2,ASSOCIATE,false,"TOPIK 3급 OR 사회통합프로그램 3단계·사전평가 61점 이상 OR 세종학당 중급1 이상",,,IMMEDIATE,false,10,10,10,,,"졸업과정 경과(전문학사2년·학사4년) 후 학점미달 등으로 졸업요건을 갖추지 못해 예외적으로 체류허가 받은 자는 허가대상에서 제외","10시간","UNKNOWN — PDF·웹페이지 모두 시행일 미기재, 확인 필요",,"2025년_충청북도_외국인정책_지원사업_안내.pdf p.13; studyinchungbuk.or.kr 시간제근로가이드(2026-08-11 조회, 동일 내용 확인)",13,2026-08-11
2da63ee2-f618-46db-96b0-9b86dee3be8d,D-2,ASSOCIATE,true,"TOPIK 3급 OR 사회통합프로그램 3단계·사전평가 61점 이상 OR 세종학당 중급1 이상",3,,IMMEDIATE,false,25,UNLIMITED,UNLIMITED,,30,"졸업과정 경과(전문학사2년·학사4년) 후 학점미달 등으로 졸업요건을 갖추지 못해 예외적으로 체류허가 받은 자는 허가대상에서 제외","(주중) 25시간* / (주말·방학) 무제한 (*충북 광역형 비자 유학생의 경우 주중 30시간)","UNKNOWN — PDF·웹페이지 모두 시행일 미기재, 확인 필요",,"2025년_충청북도_외국인정책_지원사업_안내.pdf p.13; studyinchungbuk.or.kr 시간제근로가이드(2026-08-11 조회, 동일 내용 확인)",13,2026-08-11
e044cd8f-c02c-49b7-8ce0-d762877db123,D-2,BACHELOR_1_2,false,"TOPIK 3급 OR 사회통합프로그램 3단계·사전평가 61점 이상 OR 세종학당 중급1 이상",,,IMMEDIATE,false,10,10,10,,,"졸업과정 경과(전문학사2년·학사4년) 후 학점미달 등으로 졸업요건을 갖추지 못해 예외적으로 체류허가 받은 자는 허가대상에서 제외","10시간","UNKNOWN — PDF·웹페이지 모두 시행일 미기재, 확인 필요",,"2025년_충청북도_외국인정책_지원사업_안내.pdf p.13; studyinchungbuk.or.kr 시간제근로가이드(2026-08-11 조회, 동일 내용 확인)",13,2026-08-11
2ba5ad34-85c4-4877-bc14-916d06e1ef30,D-2,BACHELOR_1_2,true,"TOPIK 3급 OR 사회통합프로그램 3단계·사전평가 61점 이상 OR 세종학당 중급1 이상",3,,IMMEDIATE,false,25,UNLIMITED,UNLIMITED,,30,"졸업과정 경과(전문학사2년·학사4년) 후 학점미달 등으로 졸업요건을 갖추지 못해 예외적으로 체류허가 받은 자는 허가대상에서 제외","(주중) 25시간* / (주말·방학) 무제한 (*충북 광역형 비자 유학생의 경우 주중 30시간)","UNKNOWN — PDF·웹페이지 모두 시행일 미기재, 확인 필요",,"2025년_충청북도_외국인정책_지원사업_안내.pdf p.13; studyinchungbuk.or.kr 시간제근로가이드(2026-08-11 조회, 동일 내용 확인)",13,2026-08-11
aebfdb31-e653-4dce-b0db-3538a817bd03,D-2,BACHELOR_3_4,false,"TOPIK 4급 OR 사회통합프로그램 4단계·사전평가 81점 이상 OR 세종학당 중급2 이상",,,IMMEDIATE,false,10,10,10,,,"졸업과정 경과(전문학사2년·학사4년) 후 학점미달 등으로 졸업요건을 갖추지 못해 예외적으로 체류허가 받은 자는 허가대상에서 제외","10시간","UNKNOWN — PDF·웹페이지 모두 시행일 미기재, 확인 필요",,"2025년_충청북도_외국인정책_지원사업_안내.pdf p.13; studyinchungbuk.or.kr 시간제근로가이드(2026-08-11 조회, 동일 내용 확인)",13,2026-08-11
05e77943-4fd3-4b4b-8f95-1b7142d2ceb1,D-2,BACHELOR_3_4,true,"TOPIK 4급 OR 사회통합프로그램 4단계·사전평가 81점 이상 OR 세종학당 중급2 이상",4,,IMMEDIATE,false,25,UNLIMITED,UNLIMITED,,30,"졸업과정 경과(전문학사2년·학사4년) 후 학점미달 등으로 졸업요건을 갖추지 못해 예외적으로 체류허가 받은 자는 허가대상에서 제외","(주중) 25시간* / (주말·방학) 무제한 (*충북 광역형 비자 유학생의 경우 주중 30시간)","UNKNOWN — PDF·웹페이지 모두 시행일 미기재, 확인 필요",,"2025년_충청북도_외국인정책_지원사업_안내.pdf p.13; studyinchungbuk.or.kr 시간제근로가이드(2026-08-11 조회, 동일 내용 확인)",13,2026-08-11
ae90b88a-9f74-4c19-b818-537aec5f3814,D-2,GRADUATE,false,"TOPIK 4급 OR 사회통합프로그램 4단계·사전평가 81점 이상 OR 세종학당 중급2 이상",,,IMMEDIATE,false,15,15,15,,,"졸업과정 경과(전문학사2년·학사4년) 후 학점미달 등으로 졸업요건을 갖추지 못해 예외적으로 체류허가 받은 자는 허가대상에서 제외","15시간","UNKNOWN — PDF·웹페이지 모두 시행일 미기재, 확인 필요",,"2025년_충청북도_외국인정책_지원사업_안내.pdf p.13; studyinchungbuk.or.kr 시간제근로가이드(2026-08-11 조회, 동일 내용 확인)",13,2026-08-11
209e549d-0cba-4a13-8d37-5ca1fe0fb7d1,D-2,GRADUATE,true,"TOPIK 4급 OR 사회통합프로그램 4단계·사전평가 81점 이상 OR 세종학당 중급2 이상",4,,IMMEDIATE,false,30,UNLIMITED,UNLIMITED,,35,"졸업과정 경과(전문학사2년·학사4년) 후 학점미달 등으로 졸업요건을 갖추지 못해 예외적으로 체류허가 받은 자는 허가대상에서 제외","(주중) 30시간 (주말·방학) 무제한","UNKNOWN — PDF·웹페이지 모두 시행일 미기재, 확인 필요",,"2025년_충청북도_외국인정책_지원사업_안내.pdf p.13; studyinchungbuk.or.kr 시간제근로가이드(2026-08-11 조회, 동일 내용 확인)",13,2026-08-11
