document_requirement_id,stage_id,document_name,document_category,filled_by,submitted_by,submission_target,signer,required_attachments,is_mandatory,valid_from,valid_to,source_document,source_page,last_verified_at,notes
73ac67e6-ac9d-4beb-8957-89a9588e3d18,02205103-eecf-4139-b270-0d34dbcbd5f3,재외동포(F-4) 통합신청서,FORM,신청자,신청자,시군 지역특화비자 담당부서,신청자,,TRUE,2025-03-07,2026-09-18,충북_지혁특화형비자사업_외국국적동포_모집공고_12차.pdf,4,2026-08-27,
b326e579-ae8d-4caf-b29d-e8981efc4a5c,02205103-eecf-4139-b270-0d34dbcbd5f3,지자체 신청서,FORM,신청자,신청자,시군 지역특화비자 담당부서,신청자,,TRUE,2025-03-07,2026-09-18,충북_지혁특화형비자사업_외국국적동포_모집공고_12차.pdf,4,2026-08-27,
14f3e24b-aab2-4956-a118-1237b14fe979,02205103-eecf-4139-b270-0d34dbcbd5f3,여권 사본,EVIDENCE,,신청자,시군 지역특화비자 담당부서,,,TRUE,2025-03-07,2026-09-18,충북_지혁특화형비자사업_외국국적동포_모집공고_12차.pdf,4,2026-08-27,
6ecdf9d0-4787-4bca-be3e-247c30cb6509,02205103-eecf-4139-b270-0d34dbcbd5f3,외국인등록증 사본,EVIDENCE,,신청자,시군 지역특화비자 담당부서,,,TRUE,2025-03-07,2026-09-18,충북_지혁특화형비자사업_외국국적동포_모집공고_12차.pdf,4,2026-08-27,
2ba82dda-e056-4d57-82eb-2e535ece6bea,02205103-eecf-4139-b270-0d34dbcbd5f3,동포입증서류,EVIDENCE,,신청자,시군 지역특화비자 담당부서,,,TRUE,2025-03-07,2026-09-18,충북_지혁특화형비자사업_외국국적동포_모집공고_12차.pdf,4,2026-08-27,
7a3c083d-2d46-48fb-8afa-ca1dca29610a,02205103-eecf-4139-b270-0d34dbcbd5f3,체류지 입증서류,EVIDENCE,,신청자,시군 지역특화비자 담당부서,,,TRUE,2025-03-07,2026-09-18,충북_지혁특화형비자사업_외국국적동포_모집공고_12차.pdf,4,2026-08-27,
43dd55ee-fa4b-455e-91c2-73b28d0e3162,02205103-eecf-4139-b270-0d34dbcbd5f3,직업 및 연간소득금액 신고서,FORM,신청자,신청자,시군 지역특화비자 담당부서,신청자,,TRUE,2025-03-07,2026-09-18,충북_지혁특화형비자사업_외국국적동포_모집공고_12차.pdf,4,2026-08-27,직업 항목만 기재
d5ce783d-c971-461d-8c90-f9f7941d428a,02205103-eecf-4139-b270-0d34dbcbd5f3,확약서,FORM,신청자,신청자,시군 지역특화비자 담당부서,신청자,,TRUE,2025-03-07,2026-09-18,충북_지혁특화형비자사업_외국국적동포_모집공고_12차.pdf,4,2026-08-27,
8d56c89c-2e41-4c75-a3d0-157ad97ea2ca,02205103-eecf-4139-b270-0d34dbcbd5f3,설문조사지,FORM,신청자,신청자,시군 지역특화비자 담당부서,신청자,,TRUE,2025-03-07,2026-09-18,충북_지혁특화형비자사업_외국국적동포_모집공고_12차.pdf,4,2026-08-27,
8e45cafb-743f-4d72-8e98-3816dc8d6fe9,02205103-eecf-4139-b270-0d34dbcbd5f3,사진,EVIDENCE,,신청자,시군 지역특화비자 담당부서,,,TRUE,2025-03-07,2026-09-18,충북_지혁특화형비자사업_외국국적동포_모집공고_12차.pdf,4,2026-08-27,
0ce1001e-05a6-496c-a84a-8ae32a4e4ba4,02205103-eecf-4139-b270-0d34dbcbd5f3,수수료,EVIDENCE,,신청자,시군 지역특화비자 담당부서,,,TRUE,2025-03-07,2026-09-18,충북_지혁특화형비자사업_외국국적동포_모집공고_12차.pdf,4,2026-08-27,
18caabfe-5e93-4da4-88dd-67aa3ad09ef4,02205103-eecf-4139-b270-0d34dbcbd5f3,행정사 위임장,FORM,신청자,행정사,시군 지역특화비자 담당부서,신청자,,조건부,2025-03-07,2026-09-18,충북_지혁특화형비자사업_외국국적동포_모집공고_12차.pdf,2,2026-08-27,본인이 직접 신청할 수 없는 경우에만 제출
a7bed96c-07d8-4208-9d28-cfc67c7f04a7,02205103-eecf-4139-b270-0d34dbcbd5f3,학령기 동포 재학·입학 예정 입증서류 또는 진단서,EVIDENCE,,신청자,시군 지역특화비자 담당부서,,,조건부,2025-03-07,2026-09-18,충북_지혁특화형비자사업_외국국적동포_모집공고_12차.pdf,4,2026-08-27,학령기 동포 해당자
d7231713-7b66-4482-8955-6c59fcce262d,02205103-eecf-4139-b270-0d34dbcbd5f3,해외전입자 건강진단서,EVIDENCE,,신청자,시군 지역특화비자 담당부서,,,조건부,2025-03-07,2026-09-18,충북_지혁특화형비자사업_외국국적동포_모집공고_12차.pdf,4,2026-08-27,해외전입자 해당자
447552ba-5c57-4dc1-82f7-d5291a73472b,02205103-eecf-4139-b270-0d34dbcbd5f3,한국교육원 수강 관련 증빙서류,EVIDENCE,,신청자,시군 지역특화비자 담당부서,,,조건부,2025-03-07,2026-09-18,충북_지혁특화형비자사업_외국국적동포_모집공고_12차.pdf,4,2026-08-27,한국교육원 수강생 해당자
0b4073db-ce62-44e6-8560-e523ef014fcc,55479387-c80c-4fbc-86a5-f8ab7e5ef014,지자체장 추천서,EVIDENCE,,신청자,관할 출입국·외국인관서,,,TRUE,2025-03-07,2026-09-18,충북_지혁특화형비자사업_외국국적동포_모집공고_12차.pdf,8,2026-08-27,
58351979-3b4a-4b0b-a97a-7a700662ecf7,55479387-c80c-4fbc-86a5-f8ab7e5ef014,여권 원본 및 사본,EVIDENCE,,신청자,관할 출입국·외국인관서,,,TRUE,2025-03-07,2026-09-18,충북_지혁특화형비자사업_외국국적동포_모집공고_12차.pdf,8,2026-08-27,
22735d30-0324-41dc-ac51-48301c9e1698,55479387-c80c-4fbc-86a5-f8ab7e5ef014,재외동포(F-4) 통합신청서,FORM,신청자,신청자,관할 출입국·외국인관서,신청자,,TRUE,2025-03-07,2026-09-18,충북_지혁특화형비자사업_외국국적동포_모집공고_12차.pdf,8,2026-08-27,
35e11b27-768a-467b-b927-d7d96256d793,55479387-c80c-4fbc-86a5-f8ab7e5ef014,표준규격사진,EVIDENCE,,신청자,관할 출입국·외국인관서,,,TRUE,2025-03-07,2026-09-18,충북_지혁특화형비자사업_외국국적동포_모집공고_12차.pdf,8,2026-08-27,1매
