group_id,visa_id,parent_group_id,group_key,group_name_kr,boolean_operator,applicability_note,display_order,valid_from,valid_to,source_document_id,source_page,last_verified_at
baaeebe3-3e5e-4ace-b680-28e5809d4033,606d8651-1d04-47fe-8f69-165b3ed3d834,,f4r_root,지역특화형 재외동포(F-4-R) 자격조건 전체,AND,,0,2025-03-07,2026-09-18,c4e3a139-af13-44ce-b72f-1f223bfc8db5,2,2026-08-14
7f5d8848-9858-46cb-9999-a1cf71abd33d,606d8651-1d04-47fe-8f69-165b3ed3d834,baaeebe3-3e5e-4ace-b680-28e5809d4033,f4r_eligibility_paths,신청자격 경로(기존거주자/국내전입자/해외전입자),OR,,0,2025-03-07,2026-09-18,c4e3a139-af13-44ce-b72f-1f223bfc8db5,2,2026-08-25
4302f837-c7cb-4846-b255-04a0ebe14e80,606d8651-1d04-47fe-8f69-165b3ed3d834,baaeebe3-3e5e-4ace-b680-28e5809d4033,f4r_dependent_child_requirements,동반자녀 요건,AND,"Open question 2 (task-4-brief.md, 미해결): 이 그룹이 신청자 본인의 F-4-R 자격 자체를 게이팅하는 필수 조건인지, 아니면 동반자녀가 있는 경우에만 적용되는 조건부 하위 트리인지 v1 원문(CSV) 텍스트만으로는 확정할 수 없음. 동반자녀 연령요건(하한/상한)과 재학요건 OR그룹(G2)이 AND로 결합된다는 점은 v1 special_case_note에 명시돼 있으나(신청자격 요건 자체가 모든 신청자에게 강제되는지 여부는 아님), 12차 공고문 원문(PDF) 확인이 필요한 미해결 질문으로 남겨둔다(plan step 3.5 rule 5 참고).",1,2025-03-07,2026-09-18,c4e3a139-af13-44ce-b72f-1f223bfc8db5,2,2026-08-14
23b27c7a-64a5-473b-a78e-fd0e98f2c78b,606d8651-1d04-47fe-8f69-165b3ed3d834,4302f837-c7cb-4846-b255-04a0ebe14e80,f4r_dependent_child_school_paths,동반자녀 재학요건 경로(원칙/예외),OR,,0,2025-03-07,2026-09-18,c4e3a139-af13-44ce-b72f-1f223bfc8db5,2,2026-08-14
e611b86e-16c8-4414-a252-083a3009090c,a228433b-abe4-4785-8496-3e1cb3d597c1,,f2r_root,전체 필수요건,AND,,1,2025-03-07,2026-09-18,2c892d50-7de9-431f-95f7-c02c7b2a7d76,4,2026-08-15
b6736ef7-d3d4-4ac5-bf37-b282a9a2baa3,a228433b-abe4-4785-8496-3e1cb3d597c1,e611b86e-16c8-4414-a252-083a3009090c,f2r_applicant_status,공고에 명시된 신청 대상 경로,OR,전체 체류자격 목록이 아니라 공고가 별도로 명시한 E-7-4/E-7-4R 경로,10,2025-03-07,2026-09-18,2c892d50-7de9-431f-95f7-c02c7b2a7d76,3,2026-08-25
09f6f125-c475-4639-b317-942eefde15c6,a228433b-abe4-4785-8496-3e1cb3d597c1,b6736ef7-d3d4-4ac5-bf37-b282a9a2baa3,f2r_e74_path,E-7-4 신청 경로,AND,,1,2025-03-07,2026-09-18,2c892d50-7de9-431f-95f7-c02c7b2a7d76,3,2026-08-25
bbf0c55d-690b-41a2-981f-c9302e9664de,a228433b-abe4-4785-8496-3e1cb3d597c1,09f6f125-c475-4639-b317-942eefde15c6,f2r_e74_status_options,E-7-4 근무·구직 상태 경로,OR,,1,2025-03-07,2026-09-18,2c892d50-7de9-431f-95f7-c02c7b2a7d76,3,2026-08-25
5ab65e8d-c0fb-4bc8-b548-ba7003461c66,a228433b-abe4-4785-8496-3e1cb3d597c1,b6736ef7-d3d4-4ac5-bf37-b282a9a2baa3,f2r_e74r_path,E-7-4R 신청 경로,AND,,2,2025-03-07,2026-09-18,2c892d50-7de9-431f-95f7-c02c7b2a7d76,3,2026-08-25
0afbb8e2-fbc4-4d32-8fe7-8a9b2b603eb9,a228433b-abe4-4785-8496-3e1cb3d597c1,e611b86e-16c8-4414-a252-083a3009090c,f2r_education_or_income,학력 또는 소득,OR,,20,2025-03-07,2026-09-18,2c892d50-7de9-431f-95f7-c02c7b2a7d76,3,2026-08-25
