stage_id,visa_id,stage_order,stage_code,stage_name_kr,actor_from,actor_to,stage_start_date,stage_end_date,notice_round,notes,valid_from,valid_to,source_document_id,source_page,last_verified_at
deb13822-68fb-4c81-9be9-18341d8771f1,606d8651-1d04-47fe-8f69-165b3ed3d834,1,NOTICE_PUBLICATION,모집공고,충청북도(도 및 시군),일반 공개,2025-03-07,2025-03-07,12,"상시접수 방식이라 공고 자체는 3.7 게시, 신청기간 종료(9.18)까지 유지됨. 행정기관이 시작하는 공지 단계 — 신청자 리마인더 대상 아님.",2025-03-07,2026-09-18,c4e3a139-af13-44ce-b72f-1f223bfc8db5,2,2026-08-14
94b1aeb9-8914-4be3-944c-0fc30ef59cc8,606d8651-1d04-47fe-8f69-165b3ed3d834,2,APPLICATION_SUBMISSION,신청 접수,재외동포(신청자),시군(지역특화비자 담당부서),2025-03-07,2026-09-18,12,"상시접수. 매월 20일까지 접수분을 시군에서 심사(20일이 공휴일이면 전일까지). 신청자 본인 방문 접수 원칙, 부득이한 경우 행정사 대리신청 가능(위임장 필수).",2025-03-07,2026-09-18,c4e3a139-af13-44ce-b72f-1f223bfc8db5,"2,5",2026-08-14
22400417-0b1f-47d0-a798-a648a4b627b9,606d8651-1d04-47fe-8f69-165b3ed3d834,3,MOJ_LIST_SUBMISSION,법무부 명단 제출,시군(또는 도),도 → 법무부/관할출입국,2025-03-07,2026-09-30,12,매월 1주차 금요일 추천서 발급 및 문자(SMS) 개별통보. 행정기관 간 처리 단계 — 신청자는 대기만 함.,2025-03-07,2026-09-18,c4e3a139-af13-44ce-b72f-1f223bfc8db5,"2,5",2026-08-14
8b308d45-ad4f-4a41-b374-160ef530209a,606d8651-1d04-47fe-8f69-165b3ed3d834,4,STATUS_CHANGE_APPLICATION,체류자격 변경신청,재외동포(신청자),관할 출입국·외국인관서,2025-03-07,2026-12-31,12,"충북도지사 추천서(붙임9) 취득 후 관할 출입국관서에 신청. 출입국 관리 업무는 예약제 운영 — 청주·대전 출입국사무소 예약 필요(제천시는 재외동포지원센터, 그 외 5개 시군은 담당부서 방문하여 추천서 수령 후 신청).",2025-03-07,2026-09-18,c4e3a139-af13-44ce-b72f-1f223bfc8db5,"2,5,7",2026-08-14
a63c0046-58b3-46dd-9725-593655a3e8f1,346834f7-ac6e-4958-8e0d-8c2b4fb03a7e,1,NOTICE_PUBLICATION,모집공고,충청북도(도 및 시군),일반 공개,2026-01-12,2026-09-18,8,수시 공고(수정사항 발생 시 재공고),2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,10,2026-08-24
ac419d10-617a-4fdf-a160-ceec3259432f,346834f7-ac6e-4958-8e0d-8c2b4fb03a7e,2,APPLICATION_SUBMISSION,서류 제출,외국인,시군,2026-01-12,2026-09-18,8,"모집기간 2026-01-12~2026-09-18, 쿼터 소진 시까지 상시접수. 시군 지역특화비자 담당부서 방문 접수이며 신청서 작성과 증빙서류 완료 시점에만 접수로 인정하고 보완요청 시에는 접수로 인정하지 않음. 본인 신청이 원칙이나 부득이한 경우 행정사 등 적격 대리인이 서식1-2 위임장을 함께 제출해 신청할 수 있고, 본인 동행 시 위임장은 생략 가능함. 신청인의 지인·동료나 행정서류 대행 자격이 없는 자는 대리신청할 수 없음. 타 광역지자체 중복신청 금지, 모든 서류는 A4로 제출. 접수처: 제천시 미래정책과(충북 제천시 내토로 295 본관 3층, 043-641-5034), 보은군 미래전략과(충북 보은군 보은읍 군청길 38 본관 3층, 043-540-3708), 옥천군 행정과(충북 옥천군 옥천읍 중앙로 99 1층, 043-730-3164), 영동군 미래전략과(충북 영동군 영동읍 동정로 1 본관 3층, 043-740-3057), 괴산군 미래전략과(충북 괴산군 괴산읍 임꺽정로 90 본관 2층, 043-830-3208), 단양군 미래전략과(충북 단양군 단양읍 중앙1로 10 본관 3층, 043-420-3115). 접수기간 중 서류 보완이 완료되지 않으면 추천서가 발급되지 않음.",2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,"1,10-11",2026-08-25
5b636b06-5984-4191-bdb6-f5b329334329,346834f7-ac6e-4958-8e0d-8c2b4fb03a7e,3,RECOMMENDATION_REVIEW,추천자 심사,시군,법무부/관할출입국(명단 통보),2026-01-12,2026-09-18,8,시군 접수 서류를 내부 심사한 뒤 매주 단위로 광역지자체를 통해 법무부 체류관리과·외국인정책과에 피추천자 명단을 공문 통보함. 추천서 발급 완료 후 시군에서 문자로 결과를 통보함. 접수 서류는 스캔해 보관하고 원본은 외국인에게 반환. 충청북도는 도지사 추천서 발급을 담당하며 비자전환 승인 여부는 법무부 및 관할 출입국·외국인관서 소관임.,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,"1,2,5,10-11",2026-08-25
e51a4dfb-7caa-422c-bfec-b7e77ea70261,346834f7-ac6e-4958-8e0d-8c2b4fb03a7e,4,STATUS_CHANGE_APPLICATION,체류자격 변경 신청,외국인,하이코리아,2026-01-12,2026-09-18,8,도지사 추천서 발급 후 3개월 이내 하이코리아 전자민원으로 체류자격 변경을 신청함. 해외범죄경력조회 등 법무부 심사 결과에 따라 반려될 수 있으며 이 경우 지자체장 추천서 효력이 소멸함. 3개월 이내 관할 출입국·외국인관서에 자격변경을 신청하지 않으면 추천이 자동 취소됨. 비자전환 승인은 법무부 및 출입국관서 소관이고 충청북도는 도지사 추천서 발급만 담당함.,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,"2,10-11",2026-08-25
09064ad7-b211-4f38-862d-924c96e5398a,a228433b-abe4-4785-8496-3e1cb3d597c1,1,NOTICE_PUBLICATION,모집공고,충청북도(도 및 시군),일반 공개,2026-08-03,2026-08-03,17,17차 공고 게시 및 사업 접수기간·대상지역·모집규모 안내. 신청자 행동 단계가 아니라 공고 확인을 위한 배경 절차.,2025-03-07,2026-09-18,2c892d50-7de9-431f-95f7-c02c7b2a7d76,1-2,2026-08-27
532681ef-6e33-44eb-ab4d-62af6b42c3fe,a228433b-abe4-4785-8496-3e1cb3d597c1,2,APPLICATION_SUBMISSION,시·군 추천 신청,외국인 신청자,시·군 지역특화비자 담당부서,2025-03-07,2026-09-18,17,"시·군 담당부서 방문 접수. 신청서 작성과 서류 완료 시점에 접수되며 보완요청 시 접수로 인정되지 않음. 본인 신청 원칙, 부득이한 경우 위임장을 갖춘 행정사 등 대리신청 가능.",2025-03-07,2026-09-18,2c892d50-7de9-431f-95f7-c02c7b2a7d76,"1-2,10",2026-08-25
69bd994c-2b12-4101-834b-3c941858ef80,a228433b-abe4-4785-8496-3e1cb3d597c1,3,RECOMMENDATION_REVIEW,추천 심사·결과 통보,시·군 지역특화비자 담당부서,신청자·충청북도·법무부,2025-03-07,2026-09-18,17,"시·군이 접수서류와 추천요건을 심사하여 추천대상자를 선정하고, 광역지자체를 거쳐 법무부에 명단을 통보한다. 추천서 발급 또는 보완·반려 등 접수 결과를 신청자에게 안내하는 행정기관 처리 단계이며, 비자전환 승인 여부와는 구분한다.",2025-03-07,2026-09-18,2c892d50-7de9-431f-95f7-c02c7b2a7d76,"1-2,10-11",2026-08-27
2d90b0c2-4775-4a55-b4cf-eefcadafb05a,a228433b-abe4-4785-8496-3e1cb3d597c1,4,STATUS_CHANGE_APPLICATION,체류자격 변경 신청,외국인 신청자,관할 출입국·외국인관서,2025-03-07,2026-09-18,17,지자체 추천서 발급 이후 관할 출입국·외국인관서에 예약 후 방문 신청. 추천서 발급일로부터 3개월 이내 신청해야 함.,2025-03-07,2026-09-18,2c892d50-7de9-431f-95f7-c02c7b2a7d76,"2,9-11",2026-08-25
